Celebrity,Season,Week,Judge_Rank,Fan_Rank,Fan_Share,ACTUAL,Sim_Rank,Sim_Rank_Save,Sim_Percent,Sim_Percent_Save,Diff_Sim_Rank,Diff_Sim_Rank_Save,Diff_Sim_Percent,Diff_Sim_Percent_Save
Jerry Rice,2,1,5.0,1,0.2845233967649919,Safe,Safe,Safe,Safe,Safe,,,,
Jerry Rice,2,2,4.0,1,0.2846324526940833,Safe,Safe,Safe,Safe,Safe,,,,
Jerry Rice,2,3,7.0,1,0.2829044842565759,Safe,Safe,Safe,Safe,Safe,,,,
Jerry Rice,2,4,5.0,1,0.2939749553363053,Safe,Safe,Safe,Safe,Safe,,,,
Jerry Rice,2,5,5.0,1,0.3158841358444588,Safe,Safe,Safe,Safe,Safe,,,,
Jerry Rice,2,6,4.0,1,0.3276324604051907,Safe,Safe,Safe,Safe,Safe,,,,
Jerry Rice,2,7,4.0,1,0.364699693886538,Safe,Safe,ELIMINATED,Safe,Safe,,DANGER,,
Billy Ray Cyrus,4,2,6.0,5,0.0875526159249624,Safe,Safe,Safe,Safe,Safe,,,,
Billy Ray Cyrus,4,3,6.0,5,0.0901450422344929,Safe,Safe,Safe,Safe,Safe,,,,
Billy Ray Cyrus,4,4,5.0,5,0.0931804900832496,Safe,Safe,Safe,Safe,Safe,,,,
Billy Ray Cyrus,4,5,7.0,5,0.0937591166745373,Safe,Safe,Safe,Safe,Safe,,,,
Billy Ray Cyrus,4,6,6.0,5,0.1032741802701422,Safe,Safe,Safe,Safe,Safe,,,,
Billy Ray Cyrus,4,7,6.0,4,0.1237938202458836,Safe,Safe,ELIMINATED,Safe,ELIMINATED,,DANGER,,DANGER
Billy Ray Cyrus,4,8,5.0,5,0.0961966668055395,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,ELIMINATED,,,,
Bristol Palin,11,1,7.0,3,0.1800548497355387,Safe,Safe,Safe,Safe,Safe,,,,
Bristol Palin,11,2,3.0,3,0.1850505448063161,Safe,Safe,Safe,Safe,Safe,,,,
Bristol Palin,11,3,9.0,3,0.1828142783014809,Safe,Safe,Safe,Safe,Safe,,,,
Bristol Palin,11,4,8.0,3,0.1842933593794423,Safe,Safe,Safe,Safe,Safe,,,,
Bristol Palin,11,5,8.0,3,0.189225334361523,Safe,Safe,Safe,Safe,Safe,,,,
Bristol Palin,11,6,6.0,3,0.1942591909430591,Safe,Safe,SAVED (Judge),Safe,Safe,,,,
Bristol Palin,11,7,6.0,3,0.2058840704041686,Safe,Safe,ELIMINATED,Safe,Safe,,DANGER,,
Bristol Palin,11,8,5.0,3,0.2245259159693241,Safe,Safe,ELIMINATED,Safe,Safe,,DANGER,,
Bristol Palin,11,9,4.0,3,0.2601424284532264,Safe,ELIMINATED,ELIMINATED,Safe,ELIMINATED,DANGER,DANGER,,DANGER
Bristol Palin,15,1,11.0,8,0.035097730230227,Safe,Safe,Safe,Safe,Safe,,,,
Bristol Palin,15,2,12.0,8,0.0467951386176502,Safe,ELIMINATED,ELIMINATED,Safe,Safe,DANGER,DANGER,,
Bristol Palin,15,3,11.0,8,0.0442867113400601,Safe,Safe,ELIMINATED,Safe,Safe,,DANGER,,
Bristol Palin,15,4,8.0,9,0.0209971775671511,ELIMINATED,ELIMINATED,SAVED (Judge),ELIMINATED,ELIMINATED,,SURVIVED,,
Bobby Bones,27,1,5.0,1,0.2288190953496807,Safe,Safe,Safe,Safe,Safe,,,,
Bobby Bones,27,2,10.0,1,0.2273066357713195,Safe,Safe,Safe,Safe,Safe,,,,
Bobby Bones,27,3,8.0,1,0.2311950429980206,Safe,Safe,Safe,Safe,Safe,,,,
Bobby Bones,27,4,9.0,1,0.2268303507780432,Safe,Safe,Safe,Safe,Safe,,,,
Bobby Bones,27,6,7.0,1,0.2337178204325144,Safe,Safe,Safe,Safe,Safe,,,,
Bobby Bones,27,7,6.0,1,0.2420280336603724,Safe,Safe,Safe,Safe,Safe,,,,
Bobby Bones,27,8,6.0,1,0.2763442735477346,Safe,Safe,ELIMINATED,Safe,Safe,,DANGER,,
