season,celebrity_name,week,total_judge_score,num_judges,results,parsed_elim_week,last_active_week,true_elimination_week,is_eliminated,judge_percentage,score_rate,week_rank,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,ballroom_partner,placement,final_est_share,std_dev,ci_width_95,base_popularity,perf_share,vote_cv,vote_count_est
1,Joey McIntyre,1,20.0,3,3rd Place,999,5,999,0,0.1834862385321101,0.6666666666666666,1.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3,,,,,,,
1,John O'Hurley,1,20.0,3,2nd Place,999,6,999,0,0.1834862385321101,0.6666666666666666,1.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2,,,,,,,
1,Rachel Hunter,1,20.0,3,Eliminated Week 4,4,4,4,0,0.1834862385321101,0.6666666666666666,1.0,Model,35,,New Zealand,Jonathan Roberts,4,,,,,,,
1,Evander Holyfield,1,18.0,3,Eliminated Week 3,3,3,3,0,0.1651376146788991,0.6,4.0,Athlete,42,Alabama,United States,Edyta Sliwinska,5,,,,,,,
1,Trista Sutter,1,18.0,3,Eliminated Week 2,2,2,2,0,0.1651376146788991,0.6,4.0,TV Personality,32,Indiana,United States,Louis van Amstel,6,,,,,,,
1,Kelly Monaco,1,13.0,3,1st Place,999,6,999,0,0.1192660550458715,0.4333333333333333,6.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1,,,,,,,
1,John O'Hurley,2,26.0,3,2nd Place,999,6,999,0,0.2148760330578512,0.8666666666666667,1.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2,0.2819434969895058,0.0632017521654667,0.2443120911683601,0.2995581007857626,0.2148760330578512,0.22416460333475652,3947209
1,Rachel Hunter,2,24.0,3,Eliminated Week 4,4,4,4,0,0.1983471074380165,0.8,2.0,Model,35,,New Zealand,Jonathan Roberts,4,0.0564206058146002,0.0243359329268525,0.0944365073480839,0.0256774542406762,0.1983471074380165,0.4313305852620779,789888
1,Joey McIntyre,2,21.0,3,3rd Place,999,5,999,0,0.1735537190082644,0.7,3.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3,0.2185000936274456,0.0585483749040716,0.2264615605932616,0.2325472661704689,0.1735537190082644,0.2679558343984041,3059001
1,Trista Sutter,2,19.0,3,Eliminated Week 2,2,2,2,1,0.1570247933884297,0.6333333333333333,4.0,TV Personality,32,Indiana,United States,Louis van Amstel,6,0.0230231404623033,0.0166399871030043,0.0617724734319829,8.853307687200543e-05,0.1570247933884297,0.7227505357164289,322324
