season,celebrity_name,week,total_judge_score,num_judges,results,parsed_elim_week,last_active_week,true_elimination_week,is_eliminated,judge_percentage,score_rate,week_rank,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,ballroom_partner,placement
1,Joey McIntyre,1,20.0,3,3rd Place,999,5,999,0,0.1834862385321101,0.6666666666666666,1.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3
1,John O'Hurley,1,20.0,3,2nd Place,999,6,999,0,0.1834862385321101,0.6666666666666666,1.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2
1,Rachel Hunter,1,20.0,3,Eliminated Week 4,4,4,4,0,0.1834862385321101,0.6666666666666666,1.0,Model,35,,New Zealand,Jonathan Roberts,4
1,Evander Holyfield,1,18.0,3,Eliminated Week 3,3,3,3,0,0.1651376146788991,0.6,4.0,Athlete,42,Alabama,United States,Edyta Sliwinska,5
1,Trista Sutter,1,18.0,3,Eliminated Week 2,2,2,2,0,0.1651376146788991,0.6,4.0,TV Personality,32,Indiana,United States,Louis van Amstel,6
1,Kelly Monaco,1,13.0,3,1st Place,999,6,999,0,0.11926605504587157,0.43333333333333335,6.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1
1,John O'Hurley,2,26.0,3,2nd Place,999,6,999,0,0.21487603305785125,0.8666666666666667,1.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2
1,Rachel Hunter,2,24.0,3,Eliminated Week 4,4,4,4,0,0.19834710743801653,0.8,2.0,Model,35,,New Zealand,Jonathan Roberts,4
1,Joey McIntyre,2,21.0,3,3rd Place,999,5,999,0,0.17355371900826447,0.7,3.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3
1,Trista Sutter,2,19.0,3,Eliminated Week 2,2,2,2,1,0.15702479338842976,0.6333333333333333,4.0,TV Personality,32,Indiana,United States,Louis van Amstel,6
