Lambda,Kappa,Accuracy,AvgCV
0.0,10,0.9931506849315068,1.446187922608226
0.0,30,0.9828767123287672,0.704147551333805
0.0,50,0.9828767123287672,0.4893820397627484
0.0,70,0.9863013698630136,0.39316755005838305
0.0,90,0.9828767123287672,0.34098448645520485
0.1,10,0.9965753424657534,1.049457078737913
0.1,30,0.9828767123287672,0.5855164162649528
0.1,50,0.9828767123287672,0.4443626603696281
0.1,70,0.9828767123287672,0.37170508472337443
0.1,90,0.9828767123287672,0.3256077654061376
0.2,10,0.9965753424657534,0.9719782558587156
0.2,30,0.9931506849315068,0.5525886176766279
0.2,50,0.9828767123287672,0.4256800193920693
0.2,70,0.9863013698630136,0.3579107470535116
0.2,90,0.9863013698630136,0.31443585025824977
0.3,10,0.9931506849315068,0.9252835905284719
0.3,30,0.9897260273972602,0.532875835121093
0.3,50,0.9828767123287672,0.41097067588569103
0.3,70,0.9828767123287672,0.3470077974194969
0.3,90,0.9828767123287672,0.30563012019008057
0.4,10,0.9931506849315068,0.88941049651644
0.4,30,0.9931506849315068,0.5138756921712839
0.4,50,0.9863013698630136,0.39941762532151215
0.4,70,0.9863013698630136,0.3378364544805105
0.4,90,0.9863013698630136,0.2981039106461588
0.5,10,0.9931506849315068,0.861978962940768
0.5,30,0.9897260273972602,0.5015290283311741
0.5,50,0.9863013698630136,0.3897787849879795
0.5,70,0.9863013698630136,0.3301342581385761
0.5,90,0.9828767123287672,0.29162158371949126
