season,week,celebrity_name,vote_share_est,std_dev,ci_width_95,judge_score,base_popularity,perf_share,is_eliminated
1,2,John O'Hurley,0.2819434969895058,0.06320175216546674,0.24431209116836014,26.0,0.29955810078576267,0.21487603305785125,False
1,2,Rachel Hunter,0.05642060581460026,0.024335932926852523,0.09443650734808393,24.0,0.02567745424067622,0.19834710743801653,False
1,2,Joey McIntyre,0.21850009362744563,0.058548374904071644,0.22646156059326167,21.0,0.23254726617046895,0.17355371900826447,False
1,2,Trista Sutter,0.023023140462303346,0.016639987103004326,0.06177247343198299,19.0,8.853307687200543e-05,0.15702479338842976,True
1,2,Kelly Monaco,0.3054743527496807,0.06535003988147282,0.25679226648896125,17.0,0.3466050192813653,0.14049586776859505,False
1,2,Evander Holyfield,0.11463831035646578,0.04061232973164668,0.15704618291886738,14.0,0.09552362644485489,0.11570247933884298,False
1,3,Rachel Hunter,0.06972430659841787,0.03578121532168882,0.13763643043725504,26.0,0.02567972774598681,0.24528301886792453,False
1,3,John O'Hurley,0.2848678178308262,0.06331165400009021,0.2473106702843172,24.0,0.29958462393430313,0.22641509433962265,False
1,3,Joey McIntyre,0.2274836150194967,0.05833918882505097,0.22558390473602535,22.0,0.23256785611835265,0.20754716981132076,False
1,3,Kelly Monaco,0.3185278254680573,0.06527431974303925,0.2534220240817267,21.0,0.3466357080071489,0.19811320754716982,False
1,3,Evander Holyfield,0.09939643508319716,0.03990411356980305,0.15507529328896014,13.0,0.09553208419420861,0.12264150943396226,True
1,4,Kelly Monaco,0.3429537431738622,0.07459351002432066,0.2781755763884106,26.0,0.38324820808964877,0.2826086956521739,False
1,4,Rachel Hunter,0.07629224961703389,0.03564925408393839,0.13706565479054503,25.0,0.028392082568355907,0.2717391304347826,True
1,4,John O'Hurley,0.27024247870175727,0.06122931897427075,0.24351908097079597,21.0,0.3312274749595765,0.22826086956521738,False
1,4,Joey McIntyre,0.3105115285073497,0.04444310287283092,0.18005607975462393,20.0,0.25713223438241883,0.21739130434782608,False
1,6,Kelly Monaco,0.5293715224043042,0.06965874649230351,0.2731203107246566,27.5,0.5364048310980013,0.5045871559633027,False
1,6,John O'Hurley,0.4706284775956962,0.06965874649230352,0.2731203107246568,27.0,0.46359516890199876,0.4954128440366973,False
2,1,Drew Lachey,0.21462915764930465,0.05736586717243275,0.22424039628396986,24.0,0.2380190347083467,0.12307692307692308,False
2,1,Giselle Fernandez,0.02487331579102327,0.021870581757512705,0.08161563646778425,23.0,0.0016158457248881435,0.11794871794871795,False
2,1,Tatum O'Neal,0.02457590866919665,0.021844214988673824,0.07974424011261132,23.0,0.0007957371153266366,0.11794871794871795,False
2,1,Stacy Keibler,0.15006393701444615,0.050182608147949295,0.193972660837155,22.0,0.1591023035988701,0.11282051282051282,False
2,1,Jerry Rice,0.28452339676499194,0.06288194816709555,0.24536227699691815,21.0,0.3283157044269648,0.1076923076923077,False
2,1,Tia Carrere,0.040203313483968314,0.02705352967050063,0.10254838950209327,20.0,0.02421389535673374,0.10256410256410256,False
2,1,Lisa Rinna,0.08822762968543743,0.03957349932436763,0.15223900760888737,19.0,0.0858501085719889,0.09743589743589744,False
2,1,George Hamilton,0.08735239706472828,0.03933437174497189,0.15108106274678226,18.0,0.08523307173002521,0.09230769230769231,False
2,1,Kenny Mayne,0.010569068414883637,0.011372249769239283,0.041247031490453265,13.0,9.172837586863285e-05,0.06666666666666667,True
2,1,Master P,0.07498187546201912,0.03608980921359524,0.139633688547351,12.0,0.07676257039098706,0.06153846153846154,False
2,2,Stacy Keibler,0.15617225809916968,0.050785111529523905,0.1952943877136492,29.0,0.1591168991336009,0.145,False
2,2,Drew Lachey,0.21794967842555907,0.057505605299409,0.22385786318644044,27.0,0.23804086981072484,0.135,False
2,2,Giselle Fernandez,0.02546315763288959,0.02209743377195776,0.08278583410046608,24.0,0.0016159939573892686,0.12,False
2,2,Jerry Rice,0.2846324526940833,0.06283302140224435,0.24442196016568113,23.0,0.328345823056037,0.115,False
2,2,George Hamilton,0.09038788213246618,0.04024803039189414,0.15556996100941817,22.0,0.08524089073849027,0.11,False
2,2,Tia Carrere,0.04156327570888769,0.02798111295606674,0.10567600657060705,22.0,0.024216116661784973,0.11,False
2,2,Lisa Rinna,0.09025545249701662,0.03977143178317367,0.1527972019654693,20.0,0.0858579841854336,0.1,False
2,2,Tatum O'Neal,0.014180903238436224,0.013122759389606163,0.04770039072622535,17.0,0.0007958101136958659,0.085,True
2,2,Master P,0.07939493957149213,0.036673863093701735,0.13937661721021197,16.0,0.07676961234284335,0.08,False
2,3,Drew Lachey,0.22020906051379183,0.0581674512109909,0.2262840407089749,27.0,0.23823045601701354,0.14835164835164835,False
2,3,Stacy Keibler,0.15419997541121425,0.053746191418462604,0.20587151628035852,27.0,0.15924362682236773,0.14835164835164835,False
2,3,Tia Carrere,0.042864552980440326,0.023310188911150383,0.0899831826055619,26.0,0.02423540344095278,0.14285714285714285,False
2,3,Lisa Rinna,0.08371741112728598,0.03875022459218927,0.15089855275858988,25.0,0.08592636525593739,0.13736263736263737,False
2,3,George Hamilton,0.09295579849723881,0.03795749862874424,0.14791753488326298,22.0,0.08530878032866286,0.12087912087912088,False
2,3,Giselle Fernandez,0.016930841450335805,0.012968089196045376,0.04852939791488392,22.0,0.001617281005970508,0.12087912087912088,True
2,3,Jerry Rice,0.2829044842565759,0.06256206237816606,0.2454146504892199,19.0,0.3286073320943523,0.1043956043956044,False
2,3,Master P,0.10621787576311793,0.03369059422591778,0.13201185750577865,14.0,0.07683075503474288,0.07692307692307693,False
2,4,Drew Lachey,0.22646948102210612,0.05758024828163051,0.22376000874592403,28.0,0.23861636573302727,0.17721518987341772,False
2,4,Lisa Rinna,0.10157778812438582,0.04220090962894718,0.1618271863035098,26.0,0.08606555744726511,0.16455696202531644,False
2,4,Stacy Keibler,0.1615246580342681,0.050639862823017315,0.19752843907612988,26.0,0.15950158570735443,0.16455696202531644,False
2,4,Tia Carrere,0.05095960872955951,0.03066782571518544,0.11597423603314067,25.0,0.024274662391364683,0.15822784810126583,False
2,4,Jerry Rice,0.29397495533630535,0.0631533179709284,0.24604475345393917,24.0,0.32913964338791546,0.1518987341772152,False
2,4,George Hamilton,0.11001524186693072,0.03839675215728048,0.1485927722070096,21.0,0.08544697209364761,0.13291139240506328,False
